feature,category,missing_count,missing_pct,min,max,mean,std
Sex,Pre-treatment Baseline,0,0.0,0.0,1.0,0.5033557046979866,0.5016750465679883
Wake-up,Pre-treatment Baseline,0,0.0,0.0,1.0,0.28187919463087246,0.45143220904307346
In-House,Pre-treatment Baseline,0,0.0,0.0,1.0,0.04697986577181208,0.21230938890897122
Referral,Pre-treatment Baseline,0,0.0,0.0,1.0,0.12751677852348994,0.3346759345030621
Atrial fibrillation,Pre-treatment Baseline,0,0.0,0.0,1.0,0.2684563758389262,0.444650978877261
Hypertension,Pre-treatment Baseline,0,0.0,0.0,1.0,0.5771812080536913,0.4956732802215162
Diabetes,Pre-treatment Baseline,0,0.0,0.0,1.0,0.1610738255033557,0.36883882977637694
Hyperlipidemia,Pre-treatment Baseline,0,0.0,0.0,1.0,0.30201342281879195,0.46067955073701633
Anticoagulation,Pre-treatment Baseline,0,0.0,0.0,1.0,0.18120805369127516,0.3864895941952206
Lipid lowering drugs,Pre-treatment Baseline,0,0.0,0.0,1.0,0.28187919463087246,0.45143220904307346
PAIs,Pre-treatment Baseline,0,0.0,0.0,1.0,0.24161073825503357,0.4295032755028703
mRS at admission,Pre-treatment Baseline,0,0.0,0.0,5.0,3.9731543624161074,0.9075234247950775
mRS premorbid,Pre-treatment Baseline,0,0.0,0.0,4.0,0.5234899328859061,1.0499928739619815
NIHSS at admission,Pre-treatment Baseline,0,0.0,0.0,24.0,10.986577181208053,6.059375778640328
Age,Pre-treatment Baseline,0,0.0,-2.6959789,1.8327534,0.05744824352348994,0.9721431997759236
Glucose,Pre-treatment Baseline,0,0.0,-2.7083282,4.65097,-0.02388347245369126,0.900542830697431
Leucocytes,Pre-treatment Baseline,0,0.0,-3.999397,3.8654652,-0.009642404802684548,0.9788225880887411
CRP,Pre-treatment Baseline,0,0.0,-0.45319882,6.457398,0.05169279216510065,1.0864585141595902
INR,Pre-treatment Baseline,0,0.0,-8.181234,2.5432594,0.031691309925503335,0.9181866846483809
Onset to door_min,Pre-treatment Baseline,0,0.0,-0.74247247,5.6837673,-0.03342839912469797,0.9338542809640518
Alert to door_min,Pre-treatment Baseline,0,0.0,-2.5800214,8.018313,-0.03602515791946309,0.8524602828126816
Door to imaging_min,Pre-treatment Baseline,0,0.0,-0.5639902,7.110424,0.0029955414872483155,1.0122361315443105
Door to groin_min,Intra-procedural (Leakage Risk),0,0.0,-1.3539983,6.9900074,-0.007077812937583891,1.048398342622926
Door to first series_min,Intra-procedural (Leakage Risk),0,0.0,-1.8052894,8.694127,0.028318894079865795,1.138406891155158
Door to recanalization_min,Intra-procedural (Leakage Risk),0,0.0,-1.5574551,6.330333,-0.003470397198859027,1.0432843821288165
Time of intervention_min,Intra-procedural (Leakage Risk),0,0.0,-1.2901545,5.486667,-0.01982338053691274,1.0178651526913998
