threshold,Treat All,Treat None,GBM,THRIVE,SPAN-100
0.1,0.26787,0.0,0.24462,0.26787,0.27304
0.11,0.25965,0.0,0.2417,0.25965,0.2654
0.12,0.25123,0.0,0.23996,0.25123,0.25863
0.13,0.24263,0.0,0.23853,0.24263,0.2453
0.14,0.23382,0.0,0.23869,0.23382,0.23869
0.15,0.22481,0.0,0.23529,0.22481,0.2321
0.16,0.21558,0.0,0.22554,0.21558,0.22075
0.17,0.20613,0.0,0.21593,0.20613,0.21603
0.18,0.19645,0.0,0.21422,0.19645,0.20382
0.19,0.18653,0.0,0.19533,0.18653,0.19964
0.2,0.17636,0.0,0.19186,0.17636,0.18605
0.21,0.16593,0.0,0.1883,0.17829,0.16475
0.22,0.15524,0.0,0.18466,0.16836,0.13576
0.23,0.14427,0.0,0.18786,0.15816,0.12776
0.24,0.13301,0.0,0.18686,0.14769,0.11954
0.25,0.12145,0.0,0.18346,0.13695,0.12145
0.26,0.10957,0.0,0.17767,0.1234,0.11649
0.27,0.09738,0.0,0.17235,0.11479,0.13168
0.28,0.08484,0.0,0.1615,0.10594,0.13092
0.29,0.07195,0.0,0.16148,0.09684,0.13375
0.3,0.05869,0.0,0.15836,0.08749,0.14064
0.31,0.04505,0.0,0.15515,0.07112,0.13043
0.32,0.03101,0.0,0.15185,0.06566,0.13543
0.33,0.01655,0.0,0.14844,0.06005,0.13363
0.34,0.00164,0.0,0.14118,0.05426,0.12051
0.35,-0.01371,0.0,0.12642,0.0483,0.096
0.36,-0.02955,0.0,0.12742,0.04215,0.07171
0.37,-0.0459,0.0,0.12871,0.03433,0.05857
0.38,-0.06277,0.0,0.12553,0.03076,0.06252
0.39,-0.08019,0.0,0.12721,0.02707,0.07205
0.4,-0.09819,0.0,0.12403,0.02326,0.07235
0.41,-0.1168,0.0,0.12075,0.01931,0.06753
0.42,-0.13606,0.0,0.11735,0.01524,0.07378
0.43,-0.15599,0.0,0.11968,-0.01006,0.07494
0.44,-0.17663,0.0,0.10853,-0.01274,0.07641
0.45,-0.19803,0.0,0.10359,-0.0155,0.03946
0.46,-0.22021,0.0,0.1002,-0.01837,0.03388
0.47,-0.24324,0.0,0.09668,-0.02135,0.02779
0.48,-0.26714,0.0,0.08527,-0.02445,0.02266
0.49,-0.29199,0.0,0.08147,0.00806,0.00365
0.5,-0.31783,0.0,0.07752,0.00775,0.02326
0.51,-0.34472,0.0,0.08147,0.00744,0.02041
0.52,-0.37274,0.0,0.07752,0.00711,0.02649
0.53,-0.40195,0.0,0.0734,0.00676,0.02507
0.54,-0.43242,0.0,0.07819,0.0064,0.01517
0.55,-0.46425,0.0,0.06632,0.0,0.03187
0.56,-0.49753,0.0,0.06202,0.0,0.02255
0.57,-0.53236,0.0,0.05751,0.0,0.00541
0.58,-0.56884,0.0,0.04504,0.0,0.00664
0.59,-0.60711,0.0,0.04008,0.0,0.01645
0.6,-0.64729,0.0,0.03876,0.0,0.0155
0.61,-0.68952,0.0,0.04592,0.0,0.0155
0.62,-0.73399,0.0,0.03346,0.0,0.0155
0.63,-0.78085,0.0,0.02849,0.0,0.00775
0.64,-0.83032,0.0,0.02326,0.0,0.00775
0.65,-0.88261,0.0,0.01772,0.0,0.00775
0.66,-0.93798,0.0,0.01186,0.0,0.00775
0.67,-0.99671,0.0,-0.00211,0.0,0.00775
0.68,-1.05911,0.0,-0.00872,0.0,0.0
0.69,-1.12553,0.0,-0.01575,0.0,0.0
0.7,-1.19638,0.0,-0.02326,0.0,0.0
0.71,-1.27212,0.0,-0.03903,0.0,0.0
0.72,-1.35327,0.0,-0.04762,0.0,0.0
0.73,-1.44042,0.0,-0.0646,0.0,0.0
0.74,-1.53429,0.0,-0.03816,0.0,0.0
0.75,-1.63566,0.0,-0.04651,0.0,0.0
