feature,mean_abs_shap,rank,mean_shap_good,shap_source
CRP,0.5914868553316202,1,-0.01048982998306757,TreeSHAP on GBM (full-cohort refit)
mRS premorbid,0.5426276643603621,2,0.02498753938408417,TreeSHAP on GBM (full-cohort refit)
Door to imaging_min,0.5006353904120763,3,0.015003285367590652,TreeSHAP on GBM (full-cohort refit)
Age,0.47888952145900293,4,-0.013661410401669979,TreeSHAP on GBM (full-cohort refit)
Glucose,0.39356308604642753,5,0.011788262154437205,TreeSHAP on GBM (full-cohort refit)
INR,0.35445187477565715,6,-0.017142071398236012,TreeSHAP on GBM (full-cohort refit)
Sex,0.3264324825603619,7,0.019215792365087088,TreeSHAP on GBM (full-cohort refit)
Onset to door_min,0.2078834490259973,8,0.00647816053163914,TreeSHAP on GBM (full-cohort refit)
NIHSS at admission,0.1843422168949027,9,-0.017391611428355293,TreeSHAP on GBM (full-cohort refit)
Leucocytes,0.1759164767764459,10,-0.013395798323055076,TreeSHAP on GBM (full-cohort refit)
Wake-up,0.1673741213406836,11,0.00791692286044538,TreeSHAP on GBM (full-cohort refit)
Referral,0.16141328032268473,12,-0.008777199024875837,TreeSHAP on GBM (full-cohort refit)
mRS at admission,0.15581914695054225,13,0.021345495080389878,TreeSHAP on GBM (full-cohort refit)
In-House,0.12702124601132636,14,-0.01931405811250743,TreeSHAP on GBM (full-cohort refit)
Anticoagulation,0.09208063525561287,15,-0.00309261694060392,TreeSHAP on GBM (full-cohort refit)
Atrial fibrillation,0.05122749753642971,16,-0.011069048420469598,TreeSHAP on GBM (full-cohort refit)
Diabetes,0.04784563001856942,17,-0.0009032923702699712,TreeSHAP on GBM (full-cohort refit)
Lipid lowering drugs,0.02755715218054161,18,-0.0002587937302165291,TreeSHAP on GBM (full-cohort refit)
Hyperlipidemia,0.023925316505764828,19,0.004841639565534865,TreeSHAP on GBM (full-cohort refit)
Alert to door_min,0.0055289239829954834,20,-0.0026787094980473603,TreeSHAP on GBM (full-cohort refit)
Hypertension,0.004746007255122756,21,-0.0010961636770369344,TreeSHAP on GBM (full-cohort refit)
PAIs,0.0009353601209905803,22,-0.0005503575017793414,TreeSHAP on GBM (full-cohort refit)
